"","Name","Age","Since","Current.Position","company_code","company_name"
"2972","William Winters",58,2015,"Group Chief Executive Officer, Executive Director","STAN","STAND.CHART."
"2973","Naguib Kheraj",55,2018,"Non-Executive Independent Deputy Chairman of the Board","STAN","STAND.CHART."
"2974","Andrew Halford",59,2014,"Group Chief Financial Officer, Executive Director","STAN","STAND.CHART."
"2975","Tracy Clarke",52,2015,"Regional Chief Executive Officer - Europe & Americas","STAN","STAND.CHART."
"2976","Simon Cooper",51,2016,"Chief Executive Officer - Corporate & Institutional Banking","STAN","STAND.CHART."
"2977","Judy Hsu",55,2018,"Regional Chief Executive Officer , ASEAN and South Asia","STAN","STAND.CHART."
"2978","Benjamin Hung",54,2017,"Regional Chief Executive Officer, Greater China & North Asia and Chief Executive Officer - Retail Banking","STAN","STAND.CHART."
"2979","Sunil Kaushal",53,2015,"Regional Chief Executive Officer, Africa & Middle East","STAN","STAND.CHART."
"2980","David Whiteing",50,2018,"Group Chief Operating Officer","STAN","STAND.CHART."
"2981","Michael Gorriz",58,2015,"Group Chief Information Officer","STAN","STAND.CHART."
"2982","Mark Smith",57,2016,"Group Chief Risk Officer","STAN","STAND.CHART."
"2983","David Fein",58,2013,"Group General Counsel","STAN","STAND.CHART."
"2984","Tanuj Kapilashrami",41,2018,"Group Head - Human Resources","STAN","STAND.CHART."
"2985","Tracey McDermott",49,2017,"Group Head - Corporate, Public and Regulatory Affairs","STAN","STAND.CHART."
"2986","Amanda Mellor",NA,2019,"Group Company Secretary","STAN","STAND.CHART."
"2987","Chi-Yan Cheung",55,2013,"Independent Non-Executive Director","STAN","STAND.CHART."
"2988","David Conner",70,2016,"Independent Non-Executive Director","STAN","STAND.CHART."
"2989","Gay Evans",65,2015,"Independent Non-Executive Director","STAN","STAND.CHART."
"2990","Byron Grote",71,2014,"Independent Non-Executive Director","STAN","STAND.CHART."
"2991","Christine Hodgson",53,2018,"Senior Non-Executive Independent Director","STAN","STAND.CHART."
"2992","Ngozi Okonjo-Iweala",64,2017,"Independent Non-Executive Director","STAN","STAND.CHART."
"2993","David Tang",64,2019,"Non-Executive Independent Director","STAN","STAND.CHART."
"2994","Carlson Tong",64,2019,"Non-Executive Independent Director","STAN","STAND.CHART."
"2995","Jasmine Whitbread",55,2015,"Independent Non-Executive Director","STAN","STAND.CHART."
"2996","Duncan Hall",NA,2018,"Regional Head, Investor Relations","STAN","STAND.CHART."
"2997","Douglas Flint",63,2019,"Non-Executive Chairman of the Board","SLA","STD LIFE ABER"
"2998","Keith Skeoch",61,2019,"Chief Executive Officer, Executive Director","SLA","STD LIFE ABER"
"2999","Martin Gilbert",64,2019,"Executive Vice Chairman of the Board","SLA","STD LIFE ABER"
"3000","Stephanie Bruce",NA,2019,"Chief Financial Officer, Executive Director","SLA","STD LIFE ABER"
"3001","Rod Paris",58,2017,"Chief Investment Officer, Executive Director","SLA","STD LIFE ABER"
"3002","Kenneth Gilmour",NA,2017,"Company Secretary","SLA","STD LIFE ABER"
"3003","Cathleen Raffaeli",NA,2018,"Non-Executive Director","SLA","STD LIFE ABER"
"3004","Julie Chakraverty",46,2017,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3005","John Devine",59,2016,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3006","Melanie Gee",56,2015,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3007","Lynne Peacock",64,2012,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3008","Martin Pike",56,2016,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3009","Jutta Rosenborg",59,2017,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3010","Akira Suzuki",58,2017,"Non-Executive Independent Director","SLA","STD LIFE ABER"
"3011","Simon Troughton",64,2019,"Senior Independent Non-Executive Director","SLA","STD LIFE ABER"
"3012","Jakub Rosochowski",NA,2016,"Investor Relations Director","SLA","STD LIFE ABER"
"3013","Charles Dunstone",NA,2017,"Executive Chairman of the Board","TALK","TALKTALK"
"3014","Tristia Harrison",NA,2017,"Chief Executive Officer, Executive Director","TALK","TALKTALK"
"3015","John Gildersleeve",NA,2016,"Deputy Chairman of the Board","TALK","TALKTALK"
"3016","Kate Ferry",NA,2017,"Chief Financial Officer, Executive Director","TALK","TALKTALK"
"3017","Tim Morris",NA,2016,"General Counsel and Company Secretary","TALK","TALKTALK"
"3018","Howard Stringer",NA,2012,"Non-Executive Director","TALK","TALKTALK"
"3019","Roger Taylor",NA,2015,"Non-Executive Director","TALK","TALKTALK"
"3020","Phil Jordan",NA,2018,"Non-Executive Independent Director","TALK","TALKTALK"
"3021","Nigel Langstaff",NA,2017,"Non-Executive Independent Director","TALK","TALKTALK"
"3022","Ian West",NA,2016,"Senior Non-Executive Independent Director","TALK","TALKTALK"
"3023","Gerard Murphy",63,2017,"Non-Executive Independent Chairman of the Board","TATE","TATE & LYLE"
"3024","Anthony Hampton",51,2018,"Chief Executive Officer, Executive Director","TATE","TATE & LYLE"
"3025","Imran Nawaz",NA,2018,"Chief Financial Officer","TATE","TATE & LYLE"
"3026","Joan Braca",47,2017,"President - Food and Beverage Solutions","TATE","TATE & LYLE"
"3027","Melissa Law",NA,2017,"President - Global Operations","TATE","TATE & LYLE"
"3028","Jim Stutelberg",NA,2017,"President - Primary Products","TATE","TATE & LYLE"
"3029","Andrew Taylor",NA,2017,"President - Innovation and Commercial Development","TATE","TATE & LYLE"
"3030","Robert Gibber",NA,2012,"Executive Vice President, General Counsel","TATE","TATE & LYLE"
"3031","Rob Luijten",NA,2010,"Executive Vice President - Human Resources","TATE","TATE & LYLE"
"3032","Rowan Adams",NA,2014,"Executive Vice President - Corporate Affairs","TATE","TATE & LYLE"
"3033","Javed Ahmed",59,2018,"Executive Director","TATE","TATE & LYLE"
"3034","Claire-Marie O'Grady",NA,2017,"Company Secretary","TATE","TATE & LYLE"
"3035","Kimberly Nelson",NA,2019,"Non-Executive Director","TATE","TATE & LYLE"
"3036","Warren Tucker",NA,2018,"Non-Executive Director","TATE","TATE & LYLE"
"3037","Paul Forman",53,2019,"Senior Non-Executive Independent Director","TATE","TATE & LYLE"
"3038","Lars Frederiksen",59,2016,"Non-Executive Independent Director","TATE","TATE & LYLE"
"3039","Anne Minto",65,2012,"Non-Executive Independent Director","TATE","TATE & LYLE"
"3040","Ajai Puri",65,2012,"Non-Executive Independent Director","TATE","TATE & LYLE"
"3041","Sybella Stanley",56,2016,"Non-Executive Independent Director","TATE","TATE & LYLE"
"3042","Chris Marsh",NA,2016,"Group VP, Investor and Media Relations","TATE","TATE & LYLE"
"3043","Nikoloz Enukidze",NA,2019,"Chairman of the Board","TBCG","TBC BANK GP"
"3044","Vakhtang Butskhrikidze",NA,NA,"Chief Executive Officer, Director","TBCG","TBC BANK GP"
"3045","Tornike Gogichaishvili",NA,2018,"Deputy Chief Executive Officer, Chief Operating Officer","TBCG","TBC BANK GP"
"3046","David Chkonia",NA,2017,"Deputy Chief Executive Officer, Chief Risk Officer","TBCG","TBC BANK GP"
"3047","Nikoloz Kurdiani",NA,NA,"Deputy Chief Executive Officer, Micro Banking","TBCG","TBC BANK GP"
"3048","Nino Masurashvili",NA,2006,"Deputy Chief Executive Officer, Retail & SME Banking","TBCG","TBC BANK GP"
"3049","George Tkhelidze",NA,2016,"Deputy Chief Executive Officer - Corporate and Investment Banking","TBCG","TBC BANK GP"
"3050","Giorgi Shagidze",NA,NA,"Deputy Chief Executive Officer, Chief Financial Officer, Director","TBCG","TBC BANK GP"
"3051","Arne Berggren",61,2019,"Non-Executive Independent Director","TBCG","TBC BANK GP"
"3052","Maria Luisa Cicognani",55,2018,"Non-Executive Independent Director","TBCG","TBC BANK GP"
"3053","Nicholas Haag",61,2019,"Senior Independent Non-Executive Director","TBCG","TBC BANK GP"
"3054","Tsira Kemularia",NA,2018,"Non-Executive Independent Director","TBCG","TBC BANK GP"
"3055","Zoltan Szalai",NA,2017,"Director - International Media and Investor Relations","TBCG","TBC BANK GP"
"3056","David Bernstein",74,2019,"Executive Chairman of the Board","TED","TED BAKER"
"3057","Lindsay Page",NA,2019,"Chief Executive Officer, Group Finance Director, Chief Operating Officer, Executive Director","TED","TED BAKER"
"3058","Charles Anderson",NA,NA,"Finance Director, Company Secretary","TED","TED BAKER"
"3059","Sharon Baylay",49,2018,"Non-Executive Director","TED","TED BAKER"
"3060","Helena Feltham",NA,2019,"Independent Non-Executive Director","TED","TED BAKER"
"3061","Andrew Jennings",69,2014,"Independent Non-Executive Director","TED","TED BAKER"
"3062","Jennifer Roebuck",43,2017,"Independent Non-Executive Director","TED","TED BAKER"
"3063","Ronald Stewart",70,2013,"Senior Independent Non-Executive Director","TED","TED BAKER"
"3064","Hudson Sandler",NA,NA,"Investor Relations Officer","TED","TED BAKER"
"3065","Charles Wigoder",58,2010,"Executive Chairman of the Board","TEP","TELECOM PLUS"
"3066","Andrew Lindsay",41,2010,"Chief Executive Officer, Executive Director","TEP","TELECOM PLUS"
"3067","Julian Schild",58,2010,"Deputy Chairman and Senior Non-Executive Independent Director","TEP","TELECOM PLUS"
"3068","Nick Schoenfeld",47,2015,"Chief Financial Officer, Executive Director","TEP","TELECOM PLUS"
"3069","David Baxter",NA,2009,"Company Secretary","TEP","TELECOM PLUS"
"3070","Melvin Lawson",59,2018,"Non-Executive Director","TEP","TELECOM PLUS"
"3071","Andrew Blowers",NA,2016,"Non-Executive Independent Director","TEP","TELECOM PLUS"
"3072","Beatrice Hollond",57,2016,"Non-Executive Independent Director","TEP","TELECOM PLUS"
"3073","Arthur Copple",NA,2018,"Chairman of the Board","TMPL","TEMPLE BAR"
"3074","John Reeve",NA,2003,"Independent Non-Executive Chairman of the Board","TMPL","TEMPLE BAR"
"3075","Martin Slade",NA,NA,"Company Secretary","TMPL","TEMPLE BAR"
"3076","June de Moller",NA,2005,"Independent Non-Executive Director","TMPL","TEMPLE BAR"
"3077","Richard Jewson",71,2001,"Senior Independent Non-Executive Director","TMPL","TEMPLE BAR"
"3078","Lesley Sherratt",NA,2015,"Independent Non-Executive Director","TMPL","TEMPLE BAR"
"3079","Richard Wyatt",NA,2017,"Non-Executive Independent Director","TMPL","TEMPLE BAR"
"3080","Paul Manduca",66,2015,"Independent Non-Executive Chairman of the Board","TEM","TEMPLETON EMRG."
"3081","Beatrice Hollond",57,2014,"Independent Non-Executive Director","TEM","TEMPLETON EMRG."
"3082","Gregory Johnson",58,2007,"Non-Executive Director","TEM","TEMPLETON EMRG."
"3083","Charlie Ricketts",NA,2018,"Non-Executive Director","TEM","TEMPLETON EMRG."
"3084","David Graham",NA,2016,"Independent Non-Executive Director","TEM","TEMPLETON EMRG."
"3085","Simon Jeffreys",67,2016,"Independent Non-Executive Director","TEM","TEMPLETON EMRG."
"3086","John Allan",70,2015,"Non-Executive Chairman of the Board","TSCO","TESCO"
"3087","David Lewis",NA,2014,"Group Chief Executive Officer, Executive Director","TSCO","TESCO"
"3088","Alan Stewart",NA,2014,"Chief Financial Officer, Executive Director","TSCO","TESCO"
"3089","Alison Horner",50,2018,"Chief Executive Officer - Asia","TSCO","TESCO"
"3090","Gerry Mallon",NA,2018,"Chief Executive - Tesco Bank","TSCO","TESCO"
"3091","Matthew Simister",NA,2017,"Chief Executive Officer, Central Europe","TSCO","TESCO"
"3092","Jason Tarry",NA,2018,"CEO of the UK & ROI business","TSCO","TESCO"
"3093","Antony Hoggett",NA,2018,"Chief Operating Officer","TSCO","TESCO"
"3094","Adrian Morris",45,2012,"Group General Counsel","TSCO","TESCO"
"3095","Natasha Adams",NA,2018,"Chief People Officer","TSCO","TESCO"
"3096","Alessandra Bellini",NA,2017,"Chief Customer Officer","TSCO","TESCO"
"3097","Christine Heffernan",NA,2019,"Group Communications Director","TSCO","TESCO"
"3098","Andrew Yaxley",NA,2018,"Chief Product Officer","TSCO","TESCO"
"3099","Robert Welch",NA,NA,"Group Company Secretary","TSCO","TESCO"
"3100","Mark Armour",NA,2013,"Non-Executive Independent Director","TSCO","TESCO"
"3101","Melissa Bethell",42,2018,"Non-Executive Independent Director","TSCO","TESCO"
"3102","Stewart Gilliland",62,2018,"Non-Executive Independent Director","TSCO","TESCO"
"3103","Steve Golsby",NA,2016,"Non-Executive Independent Director","TSCO","TESCO"
"3104","Byron Grote",71,2015,"Independent Non-Executive Director","TSCO","TESCO"
"3105","Mikael Ohlsson",58,2014,"Non-Executive Independent Director","TSCO","TESCO"
"3106","Deanna Oppenheimer",61,2017,"Senior Independent Non-Executive Director","TSCO","TESCO"
"3107","Simon Patterson",NA,2016,"Non-Executive Independent Director","TSCO","TESCO"
"3108","Alison Platt",NA,2016,"Non-Executive Independent Director","TSCO","TESCO"
"3109","Lindsey Pownall",NA,2016,"Non-Executive Independent Director","TSCO","TESCO"
"3110","Chris Griffith",NA,2012,"Investor Relations Director","TSCO","TESCO"
"3111","Manfred Wennemer",71,2016,"Non-Executive Independent Chairman of the Board","TIFS","TI FLUID"
"3112","William Kozyra",61,2008,"President, Chief Executive Officer, Executive Director","TIFS","TI FLUID"
"3113","Timothy Knutson",NA,2008,"Chief Financial Officer, Executive Director","TIFS","TI FLUID"
"3114","Matthew Paroly",49,2014,"Company Secretary","TIFS","TI FLUID"
"3115","Paul Edgerley",62,2015,"Non-Executive Director","TIFS","TI FLUID"
"3116","Stephen Thomas",NA,2015,"Non-Executive Director","TIFS","TI FLUID"
"3117","Andrea Dunstan",NA,2019,"Non-Executive Independent Director","TIFS","TI FLUID"
"3118","John Smith",68,2017,"Non-Executive Independent Director","TIFS","TI FLUID"
"3119","Jeffrey Vanneste",59,2017,"Non-Executive Independent Director","TIFS","TI FLUID"
"3120","Hugh Seaborn",NA,2016,"Non-Executive Independent Chairman of the Board","TRY","TR PROP.INV.TST"
"3121","Joanne Elliott",NA,1995,"Finance Manager","TRY","TR PROP.INV.TST"
"3122","George Gay",NA,2008,"Direct Property Fund Manager","TRY","TR PROP.INV.TST"
"3123","Alban Lhonneur",NA,2016,"Deputy Fund Manager","TRY","TR PROP.INV.TST"
"3124","Marcus Phayre-Mudge",NA,2016,"Fund Manager","TRY","TR PROP.INV.TST"
"3125","Tim Gillbanks",NA,2018,"Non-Executive Independent Director","TRY","TR PROP.INV.TST"
"3126","Simon Marrison",NA,2011,"Non-Executive Independent Director","TRY","TR PROP.INV.TST"
"3127","David Watson",NA,2012,"Non-Executive Independent Director","TRY","TR PROP.INV.TST"
"3128","Stuart Chambers",63,2017,"Non-Executive Chairman of the Board","TPK","TRAVIS PERKINS"
"3129","Nick Roberts",NA,2019,"Chief Executive Officer Designate, Executive Director","TPK","TRAVIS PERKINS"
"3130","Alan Williams",NA,2018,"Chief Financial Officer, Executive Director","TPK","TRAVIS PERKINS"
"3131","Andrew Harrison",NA,2017,"Deputy Chief Executive Officer - Plumbing and Heating Division","TPK","TRAVIS PERKINS"
"3132","Frank Elkins",51,2018,"Chief Operating Officer - Merchanting","TPK","TRAVIS PERKINS"
"3133","Patrick Knight",NA,2018,"Chief Information Officer","TPK","TRAVIS PERKINS"
"3134","Robin Miller",NA,2018,"General Counsel, Company Secretary","TPK","TRAVIS PERKINS"
"3135","Simon King",NA,2012,"Managing Director - Wickes","TPK","TRAVIS PERKINS"
"3136","Carol Kavanagh",NA,NA,"Group Human Resources Director","TPK","TRAVIS PERKINS"
"3137","Martin Meech",NA,NA,"Group Property Director","TPK","TRAVIS PERKINS"
"3138","Cheryl Millington",NA,NA,"Chief Digital Officer","TPK","TRAVIS PERKINS"
"3139","Coline McConville",NA,2015,"Non-Executive Director","TPK","TRAVIS PERKINS"
"3140","Peter Redfern",NA,2014,"Non-Executive Director","TPK","TRAVIS PERKINS"
"3141","John Rogers",NA,2014,"Non-Executive Director","TPK","TRAVIS PERKINS"
"3142","Ruth Anderson",NA,2011,"Non-Executive Independent Director","TPK","TRAVIS PERKINS"
"3143","Christopher Rogers",NA,2013,"Senior Non-Executive Independent Director","TPK","TRAVIS PERKINS"
"3144","Graeme Barnes",NA,2017,"Head - Investor Relations","TPK","TRAVIS PERKINS"
"3145","Dorothy Thompson",58,2018,"Independent Non-Executive Chair of the Board","TLW","TULLOW OIL"
"3146","Paul McDade",54,2017,"Chief Executive Officer, Executive Director","TLW","TULLOW OIL"
"3147","Les Wood",55,2017,"Chief Financial Officer, Executive Director","TLW","TULLOW OIL"
"3148","Chris Perry",NA,NA,"Vice President - Investor Relations and Communications","TLW","TULLOW OIL"
"3149","Kevin Massie",NA,2016,"Corporate Counsel and Company Secretary","TLW","TULLOW OIL"
"3150","Angus McCoss",56,2006,"Exploration Director, Executive Director","TLW","TULLOW OIL"
"3151","Michael Daly",65,2014,"Non-Executive Director","TLW","TULLOW OIL"
"3152","Sheila Khama",NA,2019,"Non-Executive Director","TLW","TULLOW OIL"
"3153","Genevieve Sangudi",NA,2019,"Non-Executive Director","TLW","TULLOW OIL"
"3154","Anne Drinkwater",63,2012,"Independent Non-Executive Director","TLW","TULLOW OIL"
"3155","Steve Lucas",64,2012,"Independent Non-Executive Director","TLW","TULLOW OIL"
"3156","Jeremy Wilson",54,2017,"Senior Independent Non-Executive Director","TLW","TULLOW OIL"
"3157","Andrew Wilson",61,2016,"Non-Executive Chairman of the Board","UKCM","UK COMM PROP"
"3158","Margaret Littlejohns",NA,2018,"Director","UKCM","UK COMM PROP"
"3159","Michael Ayre",NA,2016,"Non-Executive Director","UKCM","UK COMM PROP"
"3160","Robert Fowlds",NA,2018,"Non-Executive Director","UKCM","UK COMM PROP"
"3161","Ken McCullagh",NA,2013,"Non-Executive Independent Director","UKCM","UK COMM PROP"
"3162","Sandra Platts",58,2013,"Non-Executive Independent Director","UKCM","UK COMM PROP"
"3163","Tony Rice",NA,2019,"Non-Executive Chairman of the Board","ULE","ULTRA ELEC."
"3164","Simon Pryce",NA,2018,"Chief Executive Officer","ULE","ULTRA ELEC."
"3165","Amitabh Sharma",51,2016,"Group Finance Director, Executive Director","ULE","ULTRA ELEC."
"3166","Carlos Santiago",NA,2014,"Chief Operating Officer","ULE","ULTRA ELEC."
"3167","Anant Prakash",NA,2018,"General Counsel, Company Secretary","ULE","ULTRA ELEC."
"3168","Mike Clayton",NA,2016,"Managing Director - Precision Control Systems","ULE","ULTRA ELEC."
"3169","Graeme Stacey",NA,2013,"Divisional Managing Director Aerospace and Infrastructure","ULE","ULTRA ELEC."
"3170","Keith Thomson",NA,NA,"Group Human Resources Director","ULE","ULTRA ELEC."
"3171","Mike Baptist",NA,2016,"Divisional Managing Director - Communications and Security","ULE","ULTRA ELEC."
